depth	min	max	median	mean
-1	-73	-57	-65	-65
0	-71	-57	-64	-64
1	-69	-56	-62	-62
2	-67	-55	-61	-61
3	-66	-54	-60	-60
4	-65	-52	-58	-58
5	-64	-50	-57	-57
6	-63	-47	-55	-55
7	-63	-45	-54	-54
8	-62	-42	-53	-53
9	-61	-40	-52	-51
10	-60	-39	-50	-50
11	-59	-38	-49	-49
12	-57	-37	-48	-48
13	-56	-36	-47	-47
14	-56	-35	-46	-46
15	-55	-34	-45	-45
16	-54	-32	-44	-44
17	-54	-31	-43	-43
18	-53	-29	-42	-42
19	-53	-27	-41	-41
20	-50	-26	-39	-39
21	-48	-25	-38	-37
22	-46	-24	-36	-36
23	-44	-23	-34	-34
24	-43	-21	-33	-32
25	-42	-19	-31	-31
26	-41	-16	-29	-29
27	-40	-14	-28	-28
28	-39	-11	-26	-26
29	-39	-8	-25	-24
30	-36	-7	-23	-22
31	-33	-6	-21	-21
32	-30	-5	-19	-19
33	-28	-4	-17	-17
34	-25	-2	-15	-15
35	-24	-1	-13	-13
36	-22	1	-11	-11
37	-21	4	-9	-9
38	-19	6	-8	-7
39	-18	9	-6	-5
40	-13	11	-2	-2
41	-9	13	1	1
42	-4	15	4	5
43	0	17	8	8
44	4	19	11	11
45	8	21	15	15
46	12	24	18	18
47	15	28	21	21
48	17	32	25	25
49	20	36	28	28
50	24	38	31	31
51	28	40	34	34
52	32	43	37	37
53	35	46	41	40
54	37	50	44	44
55	39	54	47	47
56	41	58	50	50
57	42	63	53	53
58	44	68	56	56
59	45	72	59	59
60	51	84	66	67
61	54	104	72	74
62	55	125	78	82
63	57	147	85	89
64	58	168	91	97
65	60	189	97	104
66	61	212	103	112
67	62	234	108	119
68	63	255	115	127
69	64	277	121	134
70	71	284	128	141
71	75	288	137	149
72	79	294	145	156
73	82	300	153	163
74	86	307	161	170
75	89	317	168	178
76	91	329	176	185
77	94	342	183	192
78	96	351	190	199
79	98	363	198	207
80	107	369	205	214
81	114	376	212	221
82	120	381	219	228
83	125	386	227	235
84	129	393	235	242
85	134	403	242	249
86	137	412	249	256
87	140	420	257	264
88	143	433	264	271
89	146	447	270	278
90	155	450	278	285
91	165	453	285	292
92	173	456	292	300
93	180	461	299	307
94	186	466	307	314
95	192	473	314	321
96	197	479	322	328
97	202	486	329	336
98	207	493	335	343
99	210	503	342	350
100	223	506	351	357
101	233	510	358	364
102	241	514	366	371
103	250	518	374	378
104	259	522	384	385
105	267	531	393	392
106	275	539	402	399
107	282	548	412	406
108	288	556	421	413
109	293	565	429	420
110	303	569	435	427
111	310	575	441	433
112	316	581	447	440
113	321	590	454	446
114	326	598	460	452
115	330	605	465	459
116	333	616	471	465
117	335	626	477	472
118	338	638	481	478
119	341	652	487	484
120	347	658	494	491
121	352	666	500	497
122	356	673	506	503
123	360	679	512	509
124	364	688	518	516
125	366	697	524	522
126	368	710	530	528
127	370	720	536	534
128	373	729	541	541
129	376	742	547	547
130	384	748	553	553
131	389	754	557	559
132	394	761	563	565
133	399	767	568	570
134	404	775	574	576
135	408	783	581	582
136	412	790	586	588
137	415	797	592	594
138	418	805	597	600
139	422	814	602	606
140	427	821	609	612
141	434	828	615	618
142	440	834	621	625
143	445	841	627	631
144	451	847	634	637
145	455	852	641	644
146	460	858	646	650
147	462	867	654	656
148	466	875	659	663
149	470	883	665	669
150	479	888	672	675
151	484	894	678	681
152	489	901	684	688
153	494	907	691	694
154	499	916	696	700
155	504	923	701	706
156	508	931	708	713
157	513	939	715	719
158	518	950	721	725
159	522	960	726	731
160	530	966	732	738
161	536	972	738	744
162	544	976	744	750
163	553	983	750	756
164	559	988	757	763
165	565	994	763	769
166	570	1001	769	775
167	575	1008	775	782
168	580	1017	781	788
169	585	1028	787	794
170	597	1035	793	801
171	606	1040	799	807
172	616	1048	805	814
173	624	1055	811	821
174	632	1064	818	827
175	639	1074	824	834
176	643	1081	830	840
177	648	1086	837	847
178	654	1093	844	853
179	659	1101	851	860
180	668	1108	857	866
181	679	1111	862	872
182	687	1117	868	878
183	696	1124	874	884
184	703	1129	879	890
185	710	1137	884	896
186	715	1141	890	902
187	719	1147	895	908
188	724	1154	901	914
189	729	1162	906	920
190	739	1165	911	926
191	748	1169	916	932
192	755	1174	922	938
193	763	1181	928	944
194	772	1187	934	950
195	779	1195	939	955
196	785	1202	944	961
197	791	1208	949	967
198	796	1217	954	973
199	802	1225	960	979
200	811	1233	969	988
201	818	1237	980	998
202	826	1243	992	1007
203	833	1254	1002	1016
204	838	1264	1013	1025
205	843	1275	1022	1035
206	849	1285	1034	1044
207	855	1296	1045	1053
208	861	1309	1055	1063
