Methanothrix sp002256595
UBA147 sp002499085
Nitrosarchaeum sp003569705
TA-21 sp005877345
UBA147 sp013791785
TA-21 sp014381105
TH1177 sp014523485
CAIKOA01 sp903828955
Methanosarcina horonobensis
Methanothrix sp011620785
Fen-7 sp003162615
PALSA-986 sp009778385
UBA288 sp11384u
Bog-38 sp015661395
UBA6 sp016109435
JACXTP01 sp016919625
Methanothrix sp902385025
TA-20 sp013287585
Methanocella_A arvoryzae
Methanoregula sp002502245
Methanocella conradii
Methanoregula sp11803u
UBA73 sp018304105
MVRE01 sp015660965
Methanoperedens nitroreducens
Methanoperedens_A sp014859785
CG1-02-33-12 sp002762865
Methanoregula sp003136075
CG1-02-33-12 sp017609385
CG1-02-33-12 sp018819345
CG1-02-33-12 sp018901315
SM1-50 sp902384685
RBG-13-33-26 sp001786415
JAFCEV01 sp017608985
ASMP01 sp016866915
RBG-16-68-12 sp001800745
EA-19 sp005878915
Nitrosocosmicus sp016782225
Nitrosocosmicus arcticus
