Rhodoferax ferrireducens_A
Nocardioides alkalitolerans
Blastococcus sp000702465
Actinoplanes liguriensis
CSP1-5 sp001443495
RBG-16-66-30 sp001775755
UBA12480 sp003477045
XYC2-FULL-35-21 sp001804705
40CM-3-55-5 sp001918935
IGN3 sp002050295
Methylomonas sp002083615
Leadbetterella sp002256295
CG2-30-66-27 sp002279275
TMED14 sp002292855
UBA966 sp002292895
UBA956 sp002293145
UBA952 sp002293185
UBA1321 sp002306945
UBA1318 sp002307015
Smithella sp002327415
UBA2168 sp002327525
UBA2207 sp002418885
UBA2160 sp002328865
Brevundimonas sp002343425
UBA2262 sp002347185
UBA2232 sp002348045
Competibacter_A sp002352125
UBA3006 sp002367695
Rhodoferax sp002381045
UBA5216 sp002412495
Methylovulum sp002422395
Albidovulum sp002440625
UBA6240 sp002441445
UBA6920 sp002448875
UBA6898 sp002448975
UBA6921 sp002450895
Hylemonella sp002454975
UBA6669 sp002455175
UBA1096 sp002689335
Polystyrenella sp002702685
UBA966 sp002737585
BACL27 sp002737635
Rhodoferax sp002784245
Rhodoferax sp002789915
UBA6140 sp002842435
PKWO01 sp003132085
Rhodoferax sp003133245
Velthaea versatilis
PALSA-607 sp003134755
FEN-1143 sp003153055
Fen-1255 sp003154155
Hemerobacter limicola
FEN-1219 sp003155415
Tityobacter terrigena
PALSA-688 sp003156795
Bog-756 sp003157945
Palsa-504 sp003161205
Palsa-461 sp003161255
Fen-1262 sp003161755
Terracidiphilus sp003164635
Sulfotelmatobacter sp003165455
Fen-1364 sp003170115
AV69 sp003218525
Udaeobacter sp003218615
Udaeobacter sp003218975
AV69 sp003219125
AR31 sp003221595
AR31 sp003221635
Gp1-AA145 sp003224785
Azovibrio restrictus_A
UBA10799 sp003452655
UBA8190 sp003453695
UBA7803 sp003476445
UBA11740 sp003487805
UBA2031 sp003543245
SKTG01 sp007120485
BD1 sp003569365
SURF-16 sp003605035
QWPN01 sp003670825
BAIKAL-G1-2R sp003670915
QWPT01 sp003671065
CP2-2F sp003695215
RPQS01 sp003818605
RPPU01 sp003819975
Flavobacterium sp004293165
SPBP01 sp004525935
UBA2386 sp005776475
SYFI01 sp005792725
SXXZ01 sp005789375
SXXK01 sp005791255
F1-60-MAGs104 sp005792145
SXSI01 sp005792285
SYFI01 sp005800465
UBA5216 sp005800795
BACL27 sp005805045
SYLG01 sp005808665
Udaeobacter sp005887825
Brevundimonas sp006515835
J038 sp007693385
Luteolibacter sp008932935
Amycolatopsis_C sp009377395
WHST01 sp009379825
SICB01 sp009691435
SIAQ01 sp009692065
UBA2982 sp009692205
SCUD01 sp009692245
Limnohabitans sp009693225
SHXR01 sp009693235
SHWF01 sp009693935
SHVJ01 sp009694295
Palsa-187 sp009697505
SXLG01 sp009885395
Novosphingobium sp009885425
VFJJ01 sp009886115
UBA969 sp009920765
Halioglobus sp009937575
UBA1847 sp009937605
JAACFB01 sp009937615
SYFN01 sp010024875
TC-195 sp010092885
KMS-5 sp011008935
OLB15 sp011047115
Ignavibacterium album_A
Azonexus sp011391255
CG2-30-66-27 sp011391555
UBA6055 sp011523515
UBA6055 sp011523545
UBA6055 sp011523705
Tabrizicola sp012036325
JAAXHF01 sp012271025
FEN-1350 sp012517095
Brooklawnia sp012517405
Polaromonas sp012927485
JABDJT01 sp013003335
IGN2 sp013042995
JABMNT01 sp013203595
JABMOQ01 sp013204045
Casp-alpha2 sp013204265
UBA2466 sp013205415
CAIWGR01 sp013205435
Sediminibacterium sp013205585
JAAFIY01 sp013297985
Casimicrobium sp013298765
JAAFJR01 sp013298945
Hamadaea sp013361475
Hamadaea sp013362815
JACAFB01 sp013388545
OLB17 sp013695195
JACCXL01 sp013697015
PSRF01 sp013811945
Alcanivorax_A sp013823245
Cryosericum sp013824685
BJGN01 sp014190515
UBA961 sp014191195
OLB17 sp014379075
Aestuariivirga sp014380505
JACMIU01 sp014381035
Pseudogemmobacter sp014879735
OLB15 sp014879865
S014-19 sp015486785
S139-71 sp015491595
Sphingopyxis sp015657575
Ottowia sp015999985
Hyphomonas sp016124495
Paucimonas sp016177875
JACQAP01 sp016194905
JACQHM01 sp016199025
JACQNR01 sp016202975
JACRPZ01 sp016222905
Fen-1258 sp016234355
BACL27 sp016462185
F1-60-MAGs163 sp016462245
Nocardioides sp016462705
BACL27 sp016463105
Rhodoferax sp016463455
Nitrosomonas sp016721865
JAEUNX01 sp016791025
Tabrizicola sp016792685
Aestuariivirga sp016792825
Tabrizicola sp016793705
SXKJ01 sp016872645
UBA5072 sp016926375
JAFGNU01 sp016926875
JAFGNR01 sp016926915
Zgenome-0027 sp016929295
JAFGJA01 sp016929355
JAFGHR01 sp016930015
UBA2199 sp016934475
JADFCT01 sp017161665
CFX2 sp017303775
Limnohabitans_A sp017848645
Hylemonella sp017856435
Hylemonella sp017853735
JADGRN01 sp017880825
CG2-30-66-27 sp017881405
Bog-756 sp017883025
Romboutsia sp904418825
Ferruginibacter sp017983695
Novosphingobium sp017987575
Sphingorhabdus_B sp017987825
Ornithinibacter sp017989115
JAGONM01 sp017993055
JAGOEY01 sp017997515
Rhodoferax sp017997975
Rhodoferax sp018063565
JAGTVB01 sp018224385
Novosphingobium sp018240895
QZKY01 sp018262475
Ferruginibacter sp018266775
JAFDVL01 sp018268995
JABGRG01 sp018648445
TMED8 sp018698795
UBA2199 sp018897435
Acidocella sp018971725
JAFBAP01 sp019243005
SYFN01 sp900299005
AM-0621 sp900299185
Sulfobium mesophilum
CAG-791 sp900101015
RUG440 sp902772085
SCSIO-52909 sp902806015
Nitrosomonas sp902826115
Mycobacterium sp902826815
ER46 sp903820035
CAIMUM01 sp903929005
Daejeonella sp903821625
Limnohabitans_A sp903822825
Limnohabitans_A sp903916355
Ferruginibacter sp903837525
Rhodoferax sp903870955
Flavobacterium sp903842575
CAILUG01 sp903844415
UBA12481 sp903851365
Rhodoferax sp903856025
Limnohabitans_A sp903856875
KS41 sp903859415
Rhodoferax sp903864505
Ga0077536 sp903866355
CAIPTY01 sp903868145
CAIWGR01 sp903873545
Rhodoferax sp903875275
JACRCG01 sp903875605
Rhodoferax sp903876045
UBA5078 sp903876785
BAIKAL-G1-2R sp903877395
RXIV01 sp903879705
Rhodoferax sp903927295
Limnohabitans sp903887325
UBA5078 sp903889815
JAABPW01 sp903934155
Novosphingobium sp903893935
Desulfobulbus sp903896915
SYAC01 sp903898755
CAIKZJ01 sp903901375
UBA2334 sp903928495
JACRCG01 sp903901875
SYAC01 sp903914045
Rhizomicrobium sp903922545
CAIXSE01 sp903927755
Rhodoferax sp903928325
Rhodoferax sp903930255
CAIYZT01 sp903930735
CAIZDL01 sp903931735
CAIZGX01 sp903932685
JACTMZ01 sp903934135
Limnohabitans_A sp903935585
Limnocylindrus sp903938075
SYFI01 sp903943955
Azonexus sp903951825
CAJBIL01 sp903953145
UBA830 sp905479125
WH-5701 sp000153045
Streptomyces cattleya
Nocardioides sp000364605
Acinetobacter bohemicus
Embleya scabrispora
Sphingobium japonicum_C
Amycolatopsis nigrescens
Amycolatopsis vancoresmycina
Nocardioides allogilvus
Pseudomonas_F resinovorans
Pseudonocardia spinosispora
Amycolatopsis taiwanensis
Streptacidiphilus jeojiense
Streptomyces avicenniae
Kitasatospora sp000720635
Streptacidiphilus_A oryzae
Actinoplanes utahensis
Streptacidiphilus melanogenes
Streptacidiphilus anmyonensis
Micromonospora haikouensis
Streptomyces mangrovisoli
Ardenticatena maritima
Nocardioides sp001425175
Nocardia salmonicida
Millisia brevis
Nocardia yamanashiensis
Mycobacterium flavescens_A
Micromonospora sp001905095
Kibdelosporangium sp001984155
Mycobacterium doricum
Nocardioides sp002117935
Nocardioides alpinus
Gemmobacter_B sp002855575
Tabrizicola aquatica
Nocardioides speluncae
Pseudogemmobacter bohemicus
Streptomyces armeniacus
Streptomyces sp003626575
Brevibacillus gelatini
Marmoricola ginsengisoli
Tabrizicola piscis
Amycolatopsis suaedae
Spirillospora sp004348735
Saccharopolyspora sp004348985
Kribbella sp004361855
Streptacidiphilus sp004365705
Streptomyces cacaoi
Amycolatopsis rhizosphaerae
Amycolatopsis acidiphila
Pseudonocardia sulfidoxydans
Streptomyces sp009604385
Amycolatopsis anabasis
Ornithinibacter aureus
Phytoactinopolyspora halotolerans
Mycobacterium chitae
Phytohabitans rumicis
Phytohabitans suffuscus
Streptomyces sp012034175
Lentzea indica
Amycolatopsis sp013364075
Nocardioides lianchengensis
Nocardioides ungokensis
Arachnia sp014164775
Nocardioides soli
Janthinobacterium sp014200675
Mycobacterium sp014202335
Streptosporangium saharense
Actinophytocola algeriensis
Nocardioides luti
Streptomyces sp014621695
Kitasatospora griseola
Amycolatopsis deserti
Kitasatospora indigofera
Streptomyces sulfonofaciens
Cyanobium elabens
Nonomuraea cypriaca
Plantactinospora sp015690345
Streptomyces pactum
Nocardioides sp016735675
Streptomyces sp016756395
Pseudorhodobacter sp016765775
Actinoplanes regularis
Actinoplanes tereljensis
Plantactinospora mayteni
Acrocarpospora phusangensis
Streptomyces acididurans
Amycolatopsis magusensis
Actinoplanes toevensis
Kineosporia sp018499875
Amycolatopsis sp018736145
Micromonospora eburnea
Nonomuraea jiangxiensis
Streptomyces yanglinensis
Streptomyces rubidus
Microbacterium sp900114345
Pseudonocardia ammonioxydans
Lentzea waywayandensis
Promicromonospora panici
